company,cidr,,,,,,
Alibaba,198.11.138.0/24,,,,,,
Alibaba,198.11.139.0/24,,,,,,
Alibaba,198.11.140.0/24,,,,,,
Alibaba,198.11.142.0/24,,,,,,
Alibaba,198.11.143.0/24,,,,,,
Alibaba,198.11.144.0/24,,,,,,
Alibaba,198.11.146.0/24,,,,,,
Alibaba,198.11.148.0/24,,,,,,
Alibaba,198.11.149.0/24,,,,,,
Alibaba,198.11.150.0/24,,,,,,
Alibaba,198.11.151.0/24,,,,,,
Alibaba,198.11.153.0/24,,,,,,
Alibaba,198.11.155.0/24,,,,,,
Alibaba,198.11.160.0/24,,,,,,
Alibaba,198.11.164.0/24,,,,,,
Alibaba,198.11.165.0/24,,,,,,
Alibaba,198.11.166.0/24,,,,,,
Alibaba,198.11.167.0/24,,,,,,
Alibaba,198.11.168.0/23,,,,,,
Alibaba,198.11.172.0/22,,,,,,
Alibaba,198.11.172.0/23,,,,,,
Alibaba,198.11.174.0/23,,,,,,
Alibaba,198.11.176.0/22,,,,,,
Alibaba,198.11.176.0/23,,,,,,
Alibaba,198.11.178.0/23,,,,,,
Alibaba,198.11.180.0/22,,,,,,
Alibaba,198.11.180.0/23,,,,,,
Alibaba,198.11.182.0/23,,,,,,
Alibaba,198.11.184.0/21,,,,,,
Alibaba,205.204.100.0/24,,,,,,
Alibaba,205.204.101.0/24,,,,,,
Alibaba,205.204.102.0/23,,,,,,
Alibaba,205.204.106.0/24,,,,,,
Alibaba,205.204.107.0/24,,,,,,
Alibaba,205.204.108.0/24,,,,,,
Alibaba,205.204.109.0/24,,,,,,
Alibaba,205.204.110.0/24,,,,,,
Alibaba,205.204.111.0/24,,,,,,
Alibaba,205.204.117.0/24,,,,,,
Alibaba,205.204.120.0/24,,,,,,
Alibaba,205.204.121.0/24,,,,,,
Alibaba,205.204.125.0/24,,,,,,
Alibaba,205.204.96.0/19,,,,,,
Alibaba,47.235.0.0/22,,,,,,
Alibaba,47.235.0.0/23,,,,,,
Alibaba,47.235.10.0/23,,,,,,
Alibaba,47.235.10.0/24,,,,,,
Alibaba,47.235.1.0/24,,,,,,
Alibaba,47.235.11.0/24,,,,,,
Alibaba,47.235.2.0/23,,,,,,
Alibaba,47.235.4.0/24,,,,,,
Alibaba,47.235.5.0/24,,,,,,
Alibaba,47.235.6.0/23,,,,,,
Alibaba,47.235.6.0/24,,,,,,
Alibaba,47.235.7.0/24,,,,,,
Alibaba,47.235.8.0/24,,,,,,
Alibaba,47.240.0.0/16,,,,,,
Alibaba,47.240.0.0/17,,,,,,
Alibaba,47.240.128.0/17,,,,,,
Alibaba,47.244.0.0/16,,,,,,
Alibaba,47.244.0.0/17,,,,,,
Alibaba,47.244.128.0/17,,,,,,
Alibaba,47.244.73.0/24,,,,,,
Alibaba,47.245.0.0/18,,,,,,
Alibaba,47.245.0.0/19,,,,,,
Alibaba,47.245.32.0/19,,,,,,
Alibaba,47.245.32.0/20,,,,,,
Alibaba,47.245.48.0/20,,,,,,
Alibaba,47.246.100.0/22,,,,,,
Alibaba,47.246.32.0/22,,,,,,
Alibaba,47.246.64.0/24,,,,,,
Alibaba,47.246.65.0/24,,,,,,
Alibaba,47.246.66.0/24,,,,,,
Alibaba,47.246.67.0/24,,,,,,
Alibaba,47.246.72.0/21,,,,,,
Alibaba,47.246.72.0/22,,,,,,
Alibaba,47.246.76.0/22,,,,,,
Alibaba,47.246.80.0/24,,,,,,
Alibaba,47.246.82.0/23,,,,,,
Alibaba,47.246.82.0/24,,,,,,
Alibaba,47.246.83.0/24,,,,,,
Alibaba,47.246.84.0/22,,,,,,
Alibaba,47.246.84.0/23,,,,,,
Alibaba,47.246.86.0/23,,,,,,
Alibaba,47.246.88.0/22,,,,,,
Alibaba,47.246.88.0/23,,,,,,
Alibaba,47.246.90.0/23,,,,,,
Alibaba,47.246.92.0/23,,,,,,
Alibaba,47.246.92.0/24,,,,,,
Alibaba,47.246.93.0/24,,,,,,
Alibaba,47.246.96.0/21,,,,,,
Alibaba,47.246.96.0/22,,,,,,
Alibaba,47.250.0.0/17,,,,,,
Alibaba,47.250.0.0/18,,,,,,
Alibaba,47.250.64.0/18,,,,,,
Alibaba,47.251.0.0/16,,,,,,
Alibaba,47.251.0.0/17,,,,,,
Alibaba,47.251.0.0/20,,,,,,
Alibaba,47.251.0.0/21,,,,,,
Alibaba,47.251.128.0/17,,,,,,
Alibaba,47.251.32.0/19,,,,,,
Alibaba,47.251.32.0/20,,,,,,
Alibaba,47.251.48.0/20,,,,,,
Alibaba,47.251.8.0/21,,,,,,
Alibaba,47.252.0.0/17,,,,,,
Alibaba,47.252.0.0/18,,,,,,
Alibaba,47.252.128.0/17,,,,,,
Alibaba,47.252.128.0/18,,,,,,
Alibaba,47.252.192.0/18,,,,,,
Alibaba,47.252.64.0/18,,,,,,
Alibaba,47.253.0.0/16,,,,,,
Alibaba,47.253.0.0/17,,,,,,
Alibaba,47.253.128.0/17,,,,,,
Alibaba,47.254.0.0/17,,,,,,
Alibaba,47.254.0.0/18,,,,,,
Alibaba,47.254.0.0/24,,,,,,
Alibaba,47.254.1.0/24,,,,,,
Alibaba,47.254.113.0/24,,,,,,
Alibaba,47.254.120.0/21,,,,,,
Alibaba,47.254.120.0/22,,,,,,
Alibaba,47.254.124.0/22,,,,,,
Alibaba,47.254.128.0/18,,,,,,
Alibaba,47.254.128.0/19,,,,,,
Alibaba,47.254.160.0/19,,,,,,
Alibaba,47.254.16.0/20,,,,,,
Alibaba,47.254.16.0/21,,,,,,
Alibaba,47.254.192.0/18,,,,,,
Alibaba,47.254.192.0/19,,,,,,
Alibaba,47.254.2.0/24,,,,,,
Alibaba,47.254.224.0/19,,,,,,
Alibaba,47.254.24.0/21,,,,,,
Alibaba,47.254.3.0/24,,,,,,
Alibaba,47.254.32.0/20,,,,,,
Alibaba,47.254.32.0/21,,,,,,
Alibaba,47.254.40.0/21,,,,,,
Alibaba,47.254.58.0/24,,,,,,
Alibaba,47.254.64.0/18,,,,,,
Alibaba,47.254.64.0/20,,,,,,
Alibaba,47.254.64.0/21,,,,,,
Alibaba,47.254.72.0/21,,,,,,
Alibaba,47.254.80.0/20,,,,,,
Alibaba,47.254.80.0/21,,,,,,
Alibaba,47.254.88.0/21,,,,,,
Alibaba,47.52.0.0/16,,,,,,
Alibaba,47.52.0.0/17,,,,,,
Alibaba,47.52.128.0/17,,,,,,
Alibaba,47.56.0.0/15,,,,,,
Alibaba,47.56.0.0/16,,,,,,
Alibaba,47.57.0.0/16,,,,,,
Alibaba,47.74.0.0/18,,,,,,
Alibaba,47.74.0.0/21,,,,,,
Alibaba,47.74.128.0/17,,,,,,
Alibaba,47.74.128.0/18,,,,,,
Alibaba,47.74.192.0/18,,,,,,
Alibaba,47.74.64.0/18,,,,,,
Alibaba,47.74.64.0/19,,,,,,
Alibaba,47.74.96.0/19,,,,,,
Alibaba,47.75.0.0/16,,,,,,
Alibaba,47.75.0.0/17,,,,,,
Alibaba,47.75.128.0/17,,,,,,
Alibaba,47.88.0.0/17,,,,,,
Alibaba,47.88.0.0/18,,,,,,
Alibaba,47.88.0.0/22,,,,,,
Alibaba,47.88.0.0/23,,,,,,
Alibaba,47.88.100.0/22,,,,,,
Alibaba,47.88.100.0/23,,,,,,
Alibaba,47.88.10.0/23,,,,,,
Alibaba,47.88.102.0/23,,,,,,
Alibaba,47.88.104.0/22,,,,,,
Alibaba,47.88.104.0/23,,,,,,
Alibaba,47.88.106.0/23,,,,,,
Alibaba,47.88.108.0/24,,,,,,
Alibaba,47.88.12.0/22,,,,,,
Alibaba,47.88.12.0/23,,,,,,
Alibaba,47.88.128.0/17,,,,,,
Alibaba,47.88.128.0/18,,,,,,
Alibaba,47.88.135.0/24,,,,,,
Alibaba,47.88.14.0/23,,,,,,
Alibaba,47.88.16.0/22,,,,,,
Alibaba,47.88.16.0/23,,,,,,
Alibaba,47.88.18.0/23,,,,,,
Alibaba,47.88.192.0/18,,,,,,
Alibaba,47.88.20.0/22,,,,,,
Alibaba,47.88.20.0/23,,,,,,
Alibaba,47.88.2.0/23,,,,,,
Alibaba,47.88.22.0/23,,,,,,
Alibaba,47.88.24.0/22,,,,,,
Alibaba,47.88.24.0/23,,,,,,
Alibaba,47.88.26.0/23,,,,,,
Alibaba,47.88.28.0/22,,,,,,
Alibaba,47.88.28.0/23,,,,,,
Alibaba,47.88.30.0/23,,,,,,
Alibaba,47.88.32.0/22,,,,,,
Alibaba,47.88.32.0/23,,,,,,
Alibaba,47.88.34.0/23,,,,,,
Alibaba,47.88.4.0/22,,,,,,
Alibaba,47.88.4.0/23,,,,,,
Alibaba,47.88.41.0/24,,,,,,
Alibaba,47.88.42.0/24,,,,,,
Alibaba,47.88.43.0/24,,,,,,
Alibaba,47.88.45.0/24,,,,,,
Alibaba,47.88.46.0/24,,,,,,
Alibaba,47.88.47.0/24,,,,,,
Alibaba,47.88.48.0/21,,,,,,
Alibaba,47.88.48.0/22,,,,,,
Alibaba,47.88.52.0/22,,,,,,
Alibaba,47.88.56.0/21,,,,,,
Alibaba,47.88.56.0/22,,,,,,
Alibaba,47.88.60.0/22,,,,,,
Alibaba,47.88.6.0/23,,,,,,
Alibaba,47.88.64.0/18,,,,,,
Alibaba,47.88.65.0/24,,,,,,
Alibaba,47.88.66.0/24,,,,,,
Alibaba,47.88.68.0/24,,,,,,
Alibaba,47.88.69.0/24,,,,,,
Alibaba,47.88.70.0/24,,,,,,
Alibaba,47.88.71.0/24,,,,,,
Alibaba,47.88.73.0/24,,,,,,
Alibaba,47.88.76.0/22,,,,,,
Alibaba,47.88.76.0/23,,,,,,
Alibaba,47.88.78.0/23,,,,,,
Alibaba,47.88.8.0/22,,,,,,
Alibaba,47.88.8.0/23,,,,,,
Alibaba,47.88.84.0/22,,,,,,
Alibaba,47.88.84.0/23,,,,,,
Alibaba,47.88.86.0/23,,,,,,
Alibaba,47.88.88.0/22,,,,,,
Alibaba,47.88.88.0/23,,,,,,
Alibaba,47.88.90.0/23,,,,,,
Alibaba,47.88.92.0/22,,,,,,
Alibaba,47.88.92.0/23,,,,,,
Alibaba,47.88.94.0/23,,,,,,
Alibaba,47.88.99.0/24,,,,,,
Alibaba,47.89.0.0/18,,,,,,
Alibaba,47.89.0.0/19,,,,,,
Alibaba,47.89.100.0/24,,,,,,
Alibaba,47.89.101.0/24,,,,,,
Alibaba,47.89.104.0/21,,,,,,
Alibaba,47.89.104.0/22,,,,,,
Alibaba,47.89.104.0/24,,,,,,
Alibaba,47.89.105.0/24,,,,,,
Alibaba,47.89.106.0/24,,,,,,
Alibaba,47.89.107.0/24,,,,,,
Alibaba,47.89.108.0/22,,,,,,
Alibaba,47.89.108.0/24,,,,,,
Alibaba,47.89.122.0/24,,,,,,
Alibaba,47.89.123.0/24,,,,,,
Alibaba,47.89.124.0/23,,,,,,
Alibaba,47.89.124.0/24,,,,,,
Alibaba,47.89.125.0/24,,,,,,
Alibaba,47.89.128.0/18,,,,,,
Alibaba,47.89.128.0/19,,,,,,
Alibaba,47.89.160.0/19,,,,,,
Alibaba,47.89.192.0/18,,,,,,
Alibaba,47.89.192.0/19,,,,,,
Alibaba,47.89.192.0/22,,,,,,
Alibaba,47.89.192.0/23,,,,,,
Alibaba,47.89.194.0/23,,,,,,
Alibaba,47.89.208.0/22,,,,,,
Alibaba,47.89.208.0/23,,,,,,
Alibaba,47.89.210.0/23,,,,,,
Alibaba,47.89.212.0/23,,,,,,
Alibaba,47.89.212.0/24,,,,,,
Alibaba,47.89.213.0/24,,,,,,
Alibaba,47.89.216.0/22,,,,,,
Alibaba,47.89.216.0/23,,,,,,
Alibaba,47.89.218.0/23,,,,,,
Alibaba,47.89.224.0/19,,,,,,
Alibaba,47.89.224.0/24,,,,,,
Alibaba,47.89.225.0/24,,,,,,
Alibaba,47.89.226.0/24,,,,,,
Alibaba,47.89.227.0/24,,,,,,
Alibaba,47.89.228.0/22,,,,,,
Alibaba,47.89.228.0/23,,,,,,
Alibaba,47.89.230.0/23,,,,,,
Alibaba,47.89.232.0/22,,,,,,
Alibaba,47.89.232.0/23,,,,,,
Alibaba,47.89.234.0/23,,,,,,
Alibaba,47.89.240.0/21,,,,,,
Alibaba,47.89.240.0/22,,,,,,
Alibaba,47.89.244.0/22,,,,,,
Alibaba,47.89.248.0/21,,,,,,
Alibaba,47.89.248.0/22,,,,,,
Alibaba,47.89.252.0/22,,,,,,
Alibaba,47.89.32.0/19,,,,,,
Alibaba,47.89.71.0/24,,,,,,
Alibaba,47.89.72.0/22,,,,,,
Alibaba,47.89.72.0/23,,,,,,
Alibaba,47.89.74.0/23,,,,,,
Alibaba,47.89.76.0/22,,,,,,
Alibaba,47.89.76.0/23,,,,,,
Alibaba,47.89.78.0/23,,,,,,
Alibaba,47.89.80.0/23,,,,,,
Alibaba,47.89.82.0/23,,,,,,
Alibaba,47.89.84.0/24,,,,,,
Alibaba,47.89.85.0/24,,,,,,
Alibaba,47.89.88.0/22,,,,,,
Alibaba,47.89.88.0/23,,,,,,
Alibaba,47.89.90.0/23,,,,,,
Alibaba,47.89.92.0/22,,,,,,
Alibaba,47.89.92.0/23,,,,,,
Alibaba,47.89.94.0/23,,,,,,
Alibaba,47.89.96.0/24,,,,,,
Alibaba,47.89.97.0/24,,,,,,
Alibaba,47.89.98.0/23,,,,,,
Alibaba,47.89.98.0/24,,,,,,
Alibaba,47.89.99.0/24,,,,,,
Alibaba,47.90.0.0/17,,,,,,
Alibaba,47.90.0.0/18,,,,,,
Alibaba,47.90.128.0/17,,,,,,
Alibaba,47.90.128.0/18,,,,,,
Alibaba,47.90.192.0/18,,,,,,
Alibaba,47.90.64.0/18,,,,,,
Alibaba,47.91.0.0/19,,,,,,
Alibaba,47.91.112.0/20,,,,,,
Alibaba,47.91.128.0/17,,,,,,
Alibaba,47.91.128.0/18,,,,,,
Alibaba,47.91.192.0/18,,,,,,
Alibaba,47.91.32.0/19,,,,,,
Alibaba,47.91.32.0/20,,,,,,
Alibaba,47.91.48.0/20,,,,,,
Alibaba,47.91.64.0/19,,,,,,
Alibaba,47.91.64.0/20,,,,,,
Alibaba,47.91.80.0/20,,,,,,
Alibaba,47.91.96.0/19,,,,,,
Alibaba,47.91.96.0/20,,,,,,
Alibaba,62.128.96.0/22,,,,,,
Alibaba,8.208.0.0/16,,,,,,
Alibaba,8.208.0.0/17,,,,,,
Alibaba,8.208.0.0/18,,,,,,
Alibaba,8.208.0.0/19,,,,,,
Alibaba,8.208.128.0/17,,,,,,
Alibaba,8.208.32.0/19,,,,,,
Alibaba,8.209.10.0/23,,,,,,
Alibaba,8.209.64.0/18,,,,,,
Alibaba,8.209.64.0/19,,,,,,
Alibaba,8.209.96.0/19,,,,,,
Alibaba,89.219.0.0/22,,,,,,
Tencent,103.238.16.0/23,,,,,,
Tencent,103.7.28.0/24,,,,,,
Tencent,103.7.29.0/24,,,,,,
Tencent,103.7.30.0/24,,,,,,
Tencent,103.7.31.0/24,,,,,,
Tencent,119.28.0.0/18,,,,,,
Tencent,119.28.0.0/21,,,,,,
Tencent,119.28.0.0/23,,,,,,
Tencent,119.28.100.0/23,,,,,,
Tencent,119.28.10.0/23,,,,,,
Tencent,119.28.102.0/23,,,,,,
Tencent,119.28.104.0/23,,,,,,
Tencent,119.28.106.0/23,,,,,,
