company_name,domain,,real_domain
pan african mining corp.,panafricanmineralssa.com,,panafrican.com
keegan resources inc.,,,keeganresources.com
centre for excellence in mining innovation (cemi),cemi.ca,,miningexcellence.ca
arizona mining inc.,,,arizonamining.com
canadian brass & copper co.,,,canadianbrass.ca
fjordtech,fjordtech.ca,,fjordtech.qc.ca
kaminak gold corporation,,,kaminak.com
baja mining,mining.com,,bajamining.com
cassidy gold corp,,,cassidygold.com
integra gold corp.,eldoradogold.com,,integragold.com
rye patch gold corp.,aliogold.com,,ryepatchgold.com
questron technologies corp,,,qtechcorp.com
ramsden industries limited,,,ramsdenindustries.com
accurassay laboratories ltd.,,,accurassay.com
fonderie saguenay,fonderie-sag.com,,foundry-sag.com
idm mining ltd.,,,idmmining.com
romarco minerals inc.,,,romarco.com
blutip power technologies,blutipdata.com,,blutipower.com
c. l. malach company (1997) ltd.,malachmetal.com,,malach.biz
sunward resources limited,,,sunwardresources.com
ms analytical,msanalytical.com,,metsolveanalytical.com
dusolo fertilizers inc,,,dusolo.com
channel industrial group inc.,channelind.com,,channelgroup.ca
bacanora minerals,bacanoralithium.com,,bacanoraminerals.com
giyani gold corp.,giyanimetals.com,,giyanigold.com
nanaimo foundry & engineering works ltd.,,,nanaimofoundry.com
groundtruthexploration,,,groundtruthexploration.com
aluqu©bec - grappe industrielle de l'aluminium du qu©bec,,,aluquebec.com
northland resources,,,northlandresourcesinc.com
alfiniti inc.,spectube.com,,alfiniti.com
forages technic-eau,,,foragestechnic-eau.com
malaga inc.,,,malaga.ca
dynamic installations inc.,dynamicinstallations.ca,,dynamicinstallations.com
frontier mining ltd,proactiveinvestors.co.uk,,frontiermining.com
global stainless steel inc.,globalstainless.net,,globalstainlessauctions.com
pollock cameron investments corp.,,,canadagold.ca
epc canada,epc-groupe.ca,,nordexexplosives.com
claimblock inc.,,,claimblock.com
true gold mining inc (3rv),,,truegoldmining.com
telson resources inc.,telsonresources.com,,telsonmining.com
greystar resources ltd.,,,greystarresources.com
emeco canada,emeco.net,,emecoequipment.com
blue coast group,bluecoastresearch.ca,,bluecoastgroup.ca
robinson international afrique sarl - dr congo - rd congo,pagewebcongo.com,,riafrique.com
katanga contracting services,,,kcsdrc.com
oskar rºegg ag,agencija-oskar.si,,oskar-ruegg.com
soci©t© des mines d'ity,goafricaonline.com,,lamancharesources.com
compa±a minera do±a in©s de collahuasi scm,,,collahuasi.cl
minera centinela,web.mineracentinela.cl,,mineracentinela.cl
antofagasta minerals,antofagasta.co.uk,,aminerals.cl
minera los pelambres,web.pelambres.cl,,pelambres.cl
komatsu holding s.a. (khsa),,,komatsu.cl
angloamerican  sur s.a.  los bronces,,,anglochile.cl
indura s.a,indura.cl,,indura.net
skm chile,,,globalskm.com
fam al,fam.cl,,fam.de
scm minera lumina copper chile,,,caserones.cl
gerdau argentina,gerdau.com,,sipargerdau.com.ar
minera michilla s. a.,,,michilla.cl
moly-cop,,,molycop.com
mantos copper,mantoscopper.org,,mantoscopper.com
protab,,,protab.com
codelcotech,,,codelcotech.cl
haldeman mining company,,,haldeman.cl
bechtel chile ltda.,bechtel.com,,bctool.com
schwager mining & energy,,,schwager.cl
christensen chile s.a.,diamantinachristensen.com,,christensen.cl
brass engineering,brassengineering.com,,brass.cl
pucar° s.a.,,,pucara-sa.cl
compania minera teck quebrada blanca s.a.,teckchile.com,,qblanca.cl
geocom,geocom.ch,,geocom.cl
codelco norte,codelco.com,,pancanakagroup.com
soc de servicios tecnicos geologi cos geotec boyles bros s a,mercantil.com,,geotec.cl
relix water,relixwater.com,,relix.cl
mineral drilling spa,griffith-drilling.com,,mineraldrilling.com
prodrilling s.a.,,,prodrilling.com
tunning,,,tunning.cl
nuevaunin,,,nuevaunion.cl
